[2026-08-05T08:37:07.081+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090339400231.parquet -> @accounts stage
[2026-08-05T08:37:07.200+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090339447900.parquet -> @accounts stage
[2026-08-05T08:37:07.314+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090339510332.parquet -> @accounts stage
[2026-08-05T08:37:07.434+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090339622965.parquet -> @accounts stage
[2026-08-05T08:37:07.542+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090339735170.parquet -> @accounts stage
[2026-08-05T08:37:07.655+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090339802636.parquet -> @accounts stage
[2026-08-05T08:37:07.760+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090339854967.parquet -> @accounts stage
[2026-08-05T08:37:07.871+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090339969786.parquet -> @accounts stage
[2026-08-05T08:37:07.982+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340009828.parquet -> @accounts stage
[2026-08-05T08:37:08.102+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340068304.parquet -> @accounts stage
[2026-08-05T08:37:08.212+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340120996.parquet -> @accounts stage
[2026-08-05T08:37:08.330+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340165119.parquet -> @accounts stage
[2026-08-05T08:37:08.446+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340212592.parquet -> @accounts stage
[2026-08-05T08:37:08.562+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340260214.parquet -> @accounts stage
[2026-08-05T08:37:08.670+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340312209.parquet -> @accounts stage
[2026-08-05T08:37:08.802+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340374831.parquet -> @accounts stage
[2026-08-05T08:37:08.923+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340432009.parquet -> @accounts stage
[2026-08-05T08:37:09.145+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340485198.parquet -> @accounts stage
[2026-08-05T08:37:09.287+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340538086.parquet -> @accounts stage
[2026-08-05T08:37:09.405+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340597267.parquet -> @accounts stage
[2026-08-05T08:37:09.527+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340643366.parquet -> @accounts stage
[2026-08-05T08:37:09.653+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340692918.parquet -> @accounts stage
[2026-08-05T08:37:09.763+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340744816.parquet -> @accounts stage
[2026-08-05T08:37:09.877+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340797221.parquet -> @accounts stage
[2026-08-05T08:37:09.993+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/accounts_090340847915.parquet -> @accounts stage
